"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"SF Mire","Zimbabwe","Bangladesh",52,6,2
"Nawroz Mangal","Afghanistan","U.A.E.",52,5,1
"AR Berenger","U.A.E","Afghanistan",52,5,0
"H Masakadza","Zimbabwe","Bangladesh",52,5,3
"Mushfiqur Rahim","Bangladesh","Pakistan",51,8,0
"MS Dhoni","India","West Indies",51,5,1
"Mahmudullah","Bangladesh","Zimbabwe",51,10,0
"AD Mathews","Sri Lanka","England",51,5,0
"F du Plessis","South Africa","West Indies",51,5,0
"Mominul Haque","Bangladesh","Pakistan",51,6,0
"RS Bopara","England","Sri Lanka",51,1,0
"SC Williams","Zimbabwe","South Africa",51,3,1
"PJ Hughes","Australia","South Africa",51,8,0
"JP Duminy","South Africa","Zimbabwe",51,3,0
"HM Amla","South Africa","Australia",51,2,0
"RR Rossouw","South Africa","Australia",51,5,0
"RS Bopara","England","Sri Lanka",51,1,0
"Afsar Zazai","Afghanistan","U.A.E.",51,3,0
"Shaiman Anwar","U.A.E","Afghanistan",51,6,2
"EC Joyce","Ireland","Afghanistan",51,3,0
"BB McCullum","New Zealand","Sri Lanka",51,6,3
"SK Raina","India","Australia",51,6,0
"DJG Sammy","West Indies","South Africa",51,5,2
"D Ramdin","West Indies","Pakistan",51,7,0
"TM Dilshan","Sri Lanka","Pakistan",50,9,0
"JP Faulkner","Australia","England",50,4,4
"Ahmed Shehzad","Pakistan","Afghanistan",50,7,0
"Mominul Haque","Bangladesh","Afghanistan",50,6,0
"Samiullah Shenwari","Afghanistan","India",50,6,1
"IR Bell","England","Scotland",50,4,2
"IR Bell","England","Sri Lanka",50,4,1
"RV Uthappa","India","Bangladesh",50,3,3
"MA Leask","Scotland","Ireland",50,7,1
"Asad Shafiq","Pakistan","Australia",50,5,0
"SF Mire","Zimbabwe","Bangladesh",50,2,0
"Samiullah Shenwari","Afghanistan","Ireland",50,1,1
"MN Samuels","West Indies","South Africa",50,1,4
"RD Berrington","Scotland","New Zealand",50,4,1
"LMP Simmons","West Indies","Pakistan",50,4,2
"Sohaib Maqsood","Pakistan","West Indies",50,4,1
"DM Bravo","West Indies","Pakistan",49,3,0
"Anamul Haque","Bangladesh","Sri Lanka",49,2,1
"SC Williams","Zimbabwe","Afghanistan",49,4,1
"Ahmed Shehzad","Pakistan","Sri Lanka",49,5,0
"BJ Haddin","Australia","Zimbabwe",49,2,3
"JC Buttler","England","India",49,5,2
"V Kohli","India","Sri Lanka",49,2,2
"Shahid Afridi","Pakistan","New Zealand",49,5,2
"MJ Guptill","New Zealand","Sri Lanka",49,5,0
"JE Root","England","Sri Lanka",48,2,2
"Afsar Zazai","Afghanistan","Scotland",48,5,0
"V Kohli","India","Sri Lanka",48,4,1
"DPMD Jayawardene","Sri Lanka","South Africa",48,1,0
"HM Amla","South Africa","Sri Lanka",48,4,0
"AB de Villiers","South Africa","Australia",48,8,0
"Nawroz Mangal","Afghanistan","U.A.E.",48,7,1
"Usman Ghani","Afghanistan","Scotland",48,6,1
"NLTC Perera","Sri Lanka","Afghanistan",47,6,1
"Q de Kock","South Africa","Australia",47,4,1
"Amjad Ali","U.A.E","Afghanistan",47,7,1
"Misbah-ul-Haq","Pakistan","New Zealand",47,2,2
"DG Brownlie","New Zealand","Pakistan",47,8,0
"SPD Smith","Australia","India",47,6,0
